Audio Resource	Text Resource	Print Arguments	Length	Text (transcribed from audio)			
795	216 13		72	Two tents sit silently in the desert apparently deserted for the moment.			
796	216 14		62	There doesn't seem to be any activity within the smaller tent.			
797	216 15		87	A beautiful harem girl belly dances for the merrymaking bandits within the larger tent.			
798	216 17		106	With disgust, Graham looks at a drunken bandit lying face down in the desert sand...completely passed out.			
799	216 1		126	Whew! Holding his nose against the drunken bandit's pungent odor, Graham searches him but doesn't find anything of importance.			
800	n/a		48	Graham has drunk all the water he needs for now.			
801	(rm216)		69	The glowing coals of the dying campfire are of no interest to Graham.			
802	(rm216)		75	Graham wisely chooses to avoid the flames and heat of the blazing campfire.			
803	216 7		56	Disturbing the horses would be very unwise at this time.			
804	216 10		52	The bandits would notice if the camel was disturbed.			
805	216 8		52	It wouldn't be smart to bother the horses right now.			
806	216 11		57	It would be risking death to disturb the camel right now.			
807			0				
808	205 22		148	The old shoemaker, eyes squinted and fingers calloused from years of making shoes, drives tiny nails into a shoe sole with a small cobbler's hammer.			
809	205 23		81	The shoeshop looks even more empty now that the shoemaker and his wife have left.			
810	205 26		103	The shoemaker's wife, looking haggard and worn, tiredly stitches away at a large piece of shoe leather.			
811	205 30		61	A skinny old dog lies down on the hard floor of the shoeshop.			
812	205 34		151	Business doesn't seem to be so good for the shoemaker and his wife. There isn't one pair of shoes for sale, and the old couple look tired and worn out.			
813	205 35		71	The old shop is empty now that the shoemaker and his wife have retired.			
814	205 24		99	The old shoemaker wearily hammers tiny nails in a shoe sole. He doesn't even seem to notice Graham.			
815	205 31		38	This old dog doesn't appeal to Graham.			
816	205 25		56	The shoemaker isn't even paying any attention to Graham.			
817	205 29		42	The weary old woman has no interest in it.			
818	205 33		56	The dog doesn't even lift his head to take notice of it.			
819			0				
820	205 28		93	So as not to upset the poor woman further, Graham politely decides not to question her again.			
821	205 32		40	The old dog pays no attention to Graham.			
822	(spiderRegion)		66	Well, it looks like Graham will be hanging around here for awhile.			
823			0				
824	203 35	#at 20 20	74	The tailor hopes that Graham will be happy with his newly-purchased cloak.			
825	203 36	#at 20 20	119	The tailor, an aristocratic-looking man, attends solicitously to Graham as he looks at all the wares in the tailorshop.			
826	203 44	#at 20 20	102	In the corner of the shop, draped casually over a tailor's form, Graham sees a thick, fur-lined cloak.			
827	203 49	#at 10 10	127	At the back of the shop, Graham notices a dressing room in which a rude, finicky customer tries on many items of fine clothing.			
828	203 52	#at 20 20	133	An employee of the tailor, a friendly, good-looking young man, caters hopelessly to a disagreeable customer in the one dressing room.			
829	203 54	#at 20 20	105	The busy tailorshop bustles with activity as Graham looks around with interest at all the tailor's wares.			
830	203 37	#at 20 20	77	Having lost all interest in Graham, the tailor now attends to other business.			
831	203 50	#at 10 10	55	The dressing room appears to be occupied at the moment.			
832	203 53	#at 10 10	73	The young man is too busy with another customer to be bothered by Graham.			
833	203 1		58	Graham sees nothing else of interest in the tailor's shop.			
834	203 42		56	The tailor wouldn't find that suitable for his business.			
835	203 43	#at 20 20	112	Not wishing to be put through another speech about fine shirts and trousers, Graham wisely keeps his mouth shut.			
836	203 51	#at 10 10	49	The rude customer doesn't care to talk to Graham.			
837	551 0		83	It seems to Graham that there is an unusually large number of toads in this forest.			
838	204 53	#at 10 10	115	The plump old toymaker, who seems a jolly sort, carefully mends a toy while sitting comfortably behind the counter.			
839	204 60	#at 10 10	59	Graham notices a strong little sled hanging on a side wall.			
840	204 62	#at 10 10	102	Apparently the toymaker's son, working in the back room, is learning the toy business from his father.			
841	204 64	#at 10 10	54	A pet goldfish swims endlessly around in its fishbowl.			
842	204 65	#at 10 10	109	A pretty little girl, who must be the toymaker's granddaughter, plays with a doll while Grandfather looks on.			
843	204 69	#at 10 10	62	A child's wonderland of toys fills this quaint little toyshop.			
844	204 61	#at 10 10	47	The little sled has captured Graham's interest.			
845	204 63	#at 10 10	36	The back door is for employees only.			
846	204 66	#at 10 10	81	The little girl seems happy enough playing with the doll. She needs nothing more.			
847	204 55	#at 10 10	82	Not wanting to bother the toymaker again, Graham instead looks around the toyshop.			
848	204 67	#at 10 10	80	The little girl is more interested in her doll. She pays no attention to Graham.			
849	204 56		52	Graham sees nothing else of interest in the toyshop.			
850	204 59	#at 10 10	58	The toymaker wouldn't find that suitable for his business.			
851	204 68		69	The little girl seems only to care about the doll she's playing with.			
852	(witchRegion)		49	That old witch caught Graham "toadily" off guard.			
853	200 1		142	To Graham's great relief, it appears that the witch's magic has been stopped by the amulet he is wearing, just as Madame Mushka said it would.			
854	200 11		174	Though she may look like an ancient old woman, this witch is really very powerful... and much too strong to be shoved aside by a mere man as she staunchly defends her bridge.			
855	200 12		77	Of all the ugly hags Graham has seen in his life, THIS is by far the ugliest!			
856	200 13		141	Even though the old witch is now powerless to inflict her evil magic on Graham, Graham also finds himself powerless to do anything about her!			
857	200 14		53	The amulet is already working its magic on the witch.			
858	200 16		111	Mumbling and muttering to herself, the ugly old hag refuses to indulge in any further conversation with Graham.			
859	102 0	#at 100 100 #dispose	29	My castle! What has happened?			
860	102 1	#at 10 10 #dispose	29	I can tell you what happened.			
861	102 2	#at 100 100 #dispose	6	What?!			
862	103 0	#at 10 10 #dispose	62	I know what happened to your castle. I saw it all. Yes, I did.			
863	103 1	#at 80 20 #dispose	38	You did?! Well, then...what happened?!			
864	104 0	#at 140 100 #width 150 #dispose	185	It was the powerful and evil wizard Mordack who did it. I just happened to be visiting with an old friend when I saw him materialize out of thin air. Thank goodness he didn't notice ME!			
865	104 1	#at 10 30 #dispose	22	Don't stop now! Go on!			
866	105 0	#at 10 110 #dispose	232	He conjured up a terrible whirlwind that swirled faster and faster around the castle. With another incantation Mordack then caused the wind to draw the castle up into the sky and out of sight. Oh, it was something to see, all right!			
867	103 2	#at 10 130 #dispose	99	Why? Why would this wizard...Mordack...want my castle? What could he have against me and my family?			
868	103 3	#at 10 10 #dispose	90	That I don't know. I only know that it was Mordack who took your castle...and your family.			
869	104 2	#at 140 100 #width 150 #dispose	164	Well, perhaps I can help you. My employer also happens to be a wizard, which is why I recognized Mordack. Unlike Mordack, though, my employer is a very good wizard.			
870	104 3	#at 140 100 #width 150 #dispose	98	His name is Crispinophur...but we all call him Crispin for short. The only problem is, you see...,			
871	104 4	#at 140 10 #dispose	11	Wh-Whoa...!			
872	104 5	#at 140 100 #width 150 #dispose	35	Ahem! Anyway...where was I? Oh yes.			
873	104 6	#at 140 100 #width 150 #dispose	88	The only problem is that Crispin is getting on in years and tends to be a bit forgetful.			
874	104 7	#at 10 10 #dispose	53	I don't know. This doesn't sound as if it would work.			
875	104 8	#at 140 100 #width 150 #dispose	131	Oh, sure it would! Crispin is a very qualified wizard...one of the best. He just gets a little forgetful now and again, that's all.			
876	104 9	#at 140 100 #width 150 #dispose	62	Now where is it? I know I brought it with me. Aha! Here it is!			
877	104 10	#at 10 10 #dispose	13	What is that?			
878	104 11	#at 140 100 #width 150 #dispose	82	Well! It is my opinion that you don't stand a chance against the likes of Mordack.			
879	104 12	#at 140 100 #width 150 #dispose	119	Excuse me for saying, Your Majesty...but you don't have a choice. You MUST come with me. I'm sure Crispin can help you!			
880	104 13	#at 129 51 #dispose	19	What is that stuff?			
881	104 14	#at 140 10 #width 150 #dispose	89	Oh, just some old, left-over fairy dust I've been carrying around. It'll help you to fly.			
882	104 15	#at 170 10 150 #width 100 #dispose	142	You can follow me to the land of Serenia, where Crispin and I live. It's MUCH too far to walk, you know. I think the fairy dust is still good.			
883	100 1	#at 10 10 #dispose	17	Come on! Up here!			
884	100 2	#at 10 10 #dispose	18	Follow meeeeee...!			
885	107 1	#at 10 10 #dispose	32	There it is! Down here! Come on!			
886	107 0	#at 100 10 #dispose	19	Okay...here I come!			
887	108 0	#at 10 10 #dispose	40	Looks like the fairy dust just wore off.			
888	108 1	#at 100 10 #dispose	55	Cedric! Where have you been? I've been calling for you!			
889	108 2	#at 100 10 #dispose	30	Well, well, what have we here?			
890	108 3	#at 10 100 #dispose	102	A bit clumsy, are you? Well, come on in the house and dry off. No sense sitting around like a wet dog.			
891	108 4	#at 100 10 #dispose	68	Cedric, go into the house and pour each of us a nice hot cup of tea.			
892	108 5	#at 10 20 #dispose	18	Aye, aye, Crispin.			
893	109 0	#at 10 10 #width 270 #dispose	182	...The Society of Wizards has always taken a dim view of Mordack and his abuse of his power. Why, he's even been put on suspension a few times. It never seems to do any good, though.			
894	109 1	#at 100 140 #dispose	88	Crispin, why would Mordack want to take my family or castle? What did WE ever do to him?			
895	109 2	#at 10 10 #dispose	128	I'm afraid I don't know the answer to that. Mordack is a very unpredictable wizard. I've NEVER understood that evil mind of his.			
896	109 3	#at 10 120 #dispose	85	I thought perhaps you could help His Majesty, Crispin. That's why I brought him here.			
897	109 4	#at 10 10 #dispose	23	Well, let me see now...			
898	109 5	#at 10 10 #dispose	98	I used to be a very powerful wizard at one time, you know...but I've gotten a little rusty lately.			
899	109 6	#at 10 120 #dispose	15	A LITTLE rusty!			
900	109 7	#at 10 10 #dispose	37	That's quite enough from you, Cedric!			
901	109 8	#at 10 120 #dispose	24	Yes, sir, Crispin...sir.			
902	109 9	#at 10 10 #width 270 #dispose	142	I don't know what I have that would be of much use to you. Most of my wizard stuff is pretty old and worn out. But, let's see what I can find.			
903	109 23	#at 100 10 #dispose	18	No, that won't do!			
904	109 24	#at 100 10 #dispose	19	That's all used up.			
905	109 10	#at 100 10 #dispose	21	Hmmmm. It might work.			
906	109 11	#at 100 10 #dispose	15	Here, eat this.			
907	109 12	#at 10 10 #dispose	13	What IS that?			
908	109 13	#at 10 10 #width 270 #dispose	74	That's an old piece of magical white snake I had left over from last year.			
909	109 14	#at 10 10 #width 270 #dispose	108	With it, you'll be able to communicate with the natural and animal world. You could find that quite helpful.			
910	109 15	#at 10 10 #width 270 #dispose	131	Here's my old wand. I don't even know if it works anymore. Most of its power may be gone. You should know that wands are like pets.			
911	109 16	#at 10 10 #width 270 #dispose	139	They've got to get to know you before they'll work for you. Just treat it with care and respect and hopefully it will do something for you.			
912	109 17	#at 10 10 #dispose	87	You'd better get going, my boy. No telling WHAT that confounded Mordack could be up to.			
913	109 18	#at 10 10 #dispose	42	You go with him, Cedric. Show him the way.			
914	109 19	#at 10 120 #dispose	12	Who, m-m-me?			
915	109 20 / 21	#at 10 10 #dispose	71	Yes, you! Don't be such a coward. Now, go on! You'd better get started!			
916	109 22	#at 10 120 #dispose	52	Thank you, sir. I appreciate all you've done for me.			
917	124 0	#at 10 30 #time 4	22	What's going on here?!			
918	124 1	#dispose	35	I'll take care of you... you SWINE!			
919	124 2	#at 10 30 #time 4	12	What the...?			
920	124 3	#at 10 30 #time 5	31	What have you done to my wand?!			
921	124 4	#at 10 10 #width 100 #time 7	78	You think you can outwit me, little man?! Hah! Let me show YOU a thing or two!			
922	124 6	#at 50 10 #dispose	18	Why you little...!			
923	124 7	#at 10 10 #width 100 #dispose	61	You think you're so smart, don't you? Well, I've got you now!			
924	124 8	#at -1 70 #dispose	39	Sssssssssssay good-bye, sssssssssswine!			
925	124 9	#at -1 70 #dispose	60	Ssssssssso! If thisssss issssss the way you want to play...!			
926	65 10	#at 30 10 #time 6	50	Good-bye, KING Graham of Daventry...heh, heh, heh!			
927	77 3	#at 20 160 #width 270 #dispose	41	Look, Manannan, look what I have for you.			
928	77 4	#at 20 130 #width 270 #dispose	163	Take a good look at what you did to my brother, Alexander. Because of you he's doomed to spend the rest of his days as a cat and there's nothing I can do about it.			
929	77 5	#at 20 140 #width 270 #dispose	155	But YOU can do something about it. Since you're the one that did this to him you're the only one who can turn him back again...back to the wizard Manannan.			
930	77 6	#at 20 10 #dispose	20	GRAHAM: "Alexander!"			
931	77 7	#at 20 130 #width 270 #dispose	145	I don't know how, Mordack! I'm not a wizard. I just happened to stumble across some magic spells and accidentally turned your brother into a cat.			
932	77 8	#at 20 130 #width 270 #dispose	94	I didn't mean it! Please believe me, Mordack. I don't know how to turn him back into a wizard!			
933	77 9	#at 20 130 #width 270 #dispose	213	You're holding out on me, little man! You're taking advantage of my good nature...but not for long! If I don't get a change of tune from you soon, I'll feed your family to the cat...starting with your dear mother!			
934	77 10	#at 20 130 #width 270 #dispose	106	Remember what I said. I'll only give you a little more time to decide before your family becomes cat food!			
935	92 0	#at 170 20 #width 130 #dispose	89	I am Queen Icebella and you have entered MY domain now. I command you to KNEEL before me!			
936	92 1	#at 170 20 #width 130 #dispose	44	Since both you and your friend over there...			
937	92 2	#at 120 100 #dispose	152	...have so thoughtlessly invaded my territory without my permission or knowledge, I have decided you shall both be put to death! Take him away, my pets!			
938	92 3	#at 20 20 #time 5 #dispose	14	Wait, my pets!			
939	92 5	#at 20 120 #width 270 #dispose	195	That was very lovely music. I've never heard anything quite that beautiful before. I think I felt my heart melting just a little bit. Just enough, that is, to allow you a chance for your freedom.			
940	92 6	#at 20 117 #width 270 #dispose	294	A vicious yeti has entered the area and taken up residence in my prized crystal cave. So far, I have been unable to extricate him from either the cave OR my territory. If you can rid me of the yeti I will release both you and your owl friend and you two can continue on your journey unhindered.			
941	92 7	#at 170 20 #width 130 #dispose	17	You may rise now.			
942	92 8	#at 170 20 #width 130 #dispose	89	I wish you luck in defeating the yeti. If you succeed you will have my undying gratitude.			
943	92 9	#width 130 #at 170 20 #dispose	64	Go with him, Sir Greywolf. Show him the way to the crystal cave.			
944	92 10	#width 130 #at 170 20 #dispose	47	You may go now. Sir Greywolf will lead the way.			
945	92 11	#at 170 20 #width 130 #dispose	50	Ah, good. You have returned in victory, I presume?			
946	92 12	#at 10 70 #width 210 #dispose	120	Yes, Your Majesty. The yeti is dead. He will no longer be a scourge upon your realm. Are my friend and I free to go now?			
947	92 13	#at 170 20 #width 130 #dispose	123	Yes. I keep my promises. I want to thank you for ridding my mountain domain of the horrible yeti. Please rise, King Graham.			
948	92 14	#at 170 20 #width 130 #dispose	110	Yes, I know who you are and I have been informed of your quest. I do wish you luck against the wizard Mordack.			
949	92 15	#at 170 20 #width 130 #dispose	116	You two may go. We wish you well on your difficult journey. Sir Greywolf will show you the way out of the mountains.			
950	34 1	#at 10 10 #time 4	30	What's wrong, Mr....uh, Eagle?			
951	34 2	#at 110 10 #time 9	98	I'm so weak from hunger. I haven't been able to catch any food for days. I can barely fly anymore.			
952	34 3	#at 10 10 #time 7	48	I'd like to help you...let me see what I can do.			
953	34 4	#at 110 10 #time 5	40	Thank you. I need food...(cough, cough).			
954	34 5	#at 10 10 #time 7	42	Here, take this. Perhaps it will help you.			
955	34 6	#at 110 10 #time 10	107	You are a kind man to share your meager food with a poor bird...especially up here, in the snowy mountains.			
956	34 7	#at 10 10 #time 10	94	Well, I couldn't just stand there and let you starve to death! What kind of person would I be?			
957	34 8	#at 110 10 #time 10	121	You have shown yourself to be a kind, compassionate man and I will not forget what you did for me. Good-bye, dear friend.			
958	43 0	#at 80 100 #time 4	34	Hang on! I'll get you out of this!			
959			0				
960	11 4 / 12 3 / 13 3	#at 20 20 #time 8	61	Don't worry about me, Cedric. I'm used to this kind of thing.			
961	12 6	#at 20 20 #width 140 #dispose	79	Allow me to introduce myself. I'm King Antony the Great. May I ask who you are?			
962	12 7	#at 15 90 #time 20 #width 280	154	Why certainly. I'm King Graham of Daventry and this is my friend, Cedric. We're seeking a way to cross the Great Mountains to the ocean on the other side.			
963	12 8	#at 10 10 #width 140 #dispose	209	That is a very perilous undertaking. I wish you would reconsider. But if you shall not, in return for rescuing our home from that flea-bitten cur I wish to offer you our help if perchance you may ever need it.			
964	12 9	#at 15 100 #width 280 #time 15	112	Thank you very much, King Antony. Cedric and I appreciate your kind offer. We look forward to meeting you again.			
965			0				
966			0				
967			0				
968			0				
969	12 5	#at 100 10 #dispose	10	Here, boy!			
970	27 5	#at 105 10 #dispose	184	I'm glad to see there was a way that we could be of help to you. Look here...we found a golden needle in the haystack. I'd like to present it to you. Perhaps you can find a use for it.			
971	27 6	#at 100 100 #time 6	41	Why, thank you, King Antony. I'm honored.			
972	27 7	#at 100 20 #dispose	55	Good luck in your travels, King Graham. And be careful.			
973	77 0	#at 20 10 #width 270 #dispose	72	So, you are here to see Madame Mushka, no? Vell, come closer. Seet down.			
974	77 1	#at 20 10 #width 270 #dispose	130	I veel tell you your fortune. Already I can tell zat you are on a quest of great urgency. Ve vill see vat we can find out for you.			
975	77 2	#at 20 10 #width 270 #dispose	46	Look, King Graham. Look into zee crystal ball.			
976	77 11	#at 20 10 #width 270 #dispose	66	Zat eez all. But I see zat your mission eez very dangerous indeed.			
977	77 12	#at 20 10 #width 270 #dispose	140	I veel give you somezink to help you. Here...wear zis. Eet eez a magic amulet. Eet veel protect you against all but zee most powerful magic.			
978	77 13	#at 20 10 #width 270 #dispose	62	Good luck, King Graham. Be careful; zat Mordack eez a bad one!			
979	77 14	#at 20 150 #dispose	24	Thank you, Madame Mushka			
980	200 2	#at 142 8 #width 160 #time 7	78	What are you doing in my forest, young man! Don't you know you're trespassing?			
981	200 3	#at 8 8 #width 160 #time 6	59	Oh, I didn't know this was a PRIVATE forest. Do you own it?			
982	200 4	#at 142 8 #width 160 #time 8	64	Of COURSE I own it! It's mine! And what did you do to my magic?!			
983	200 5	#at 8 8 #time 8 #width 160	97	I don't think you need to know. Now tell me something...how does one leave this confusing forest?			
984	200 6	#at 142 8 #time 7 #width 160	73	I'll never tell. I'm afraid you're stuck, dearie. Now you're my prisoner.			
985	200 7	#at 8 8 #time 5 #width 160	21	We'll see about that!			
986	200 8	#at 142 8 #time 4 #width 160	14	Yes, won't we.			
987	200 9	#time 4 #at 142 8 #width 160	12	What's this?			
988	200 10	#time 6 #at 142 8 #width 160	42	You're not crossing my bridge, little man!			
989	200 15	#time 9 #at 142 8 #width 160	64	Don't try to bribe me with THAT, dearie!  I'm not DUMB, ya know!			
990	200 0	#at 62 15 #time 15	105	Good! That old witch won't be seen here for a LONG time! But now, how to get out of this dreadful forest?			
991	9 0	#at 140 100 #time 3	18	Uh, Miss...Willow?			
992	9 1	#at 180 10 #dispose	4	Yes?			
993	9 2	#at 140 100 #time 3	13	You can talk?			
994	9 3	#at 180 10 #width 120 #dispose	42	Why, of COURSE I can! What did you expect?			
995	9 4	#at 135 100 #time 5	58	Well, I've never seen a talking tree before. What's wrong?			
996	9 5	#at 180 10 #width 120 #dispose	229	Everything's wrong! Can't you tell? I'm not really a tree...I'm really a princess. (Sigh.) You see, my fiance and I were walking through this wood when a nasty old witch came along and was instantly charmed by my handsome prince.			
997	9 6	#at 180 10 #width 120 #dispose	136	When he naturally refused her advances, she jealously banished him to a faraway land and turned me into a tree. Then she stole my heart!			
998	9 7	#at 140 100 #time 3	17	Stole your heart?			
999	9 8	#at 180 10 #width 120 #dispose	131	Yes. She turned my heart to gold and took it away with her. The only way I can become human again is to have my heart brought back.			
1000	9 9	#at 180 10 #width 120 #dispose	159	Now all I have to cheer me up is my harp. It's quite magical, you know. It plays the sweetest music you've ever heard. Now please! Leave me alone in my sorrow.			
1001	9 10	#at 140 120 #dispose	23	My heart! You found it!			
1002	9 11	#at 20 20 #dispose	36	I don't need this old thing anymore!			
1003	9 12	#at 20 20 #dispose	33	Look at me! I'm a princess again!			
1004	9 13	#at 60 20 #dispose	9	Herbert!!			
1005	9 14	#at 20 20 #dispose	8	Alicia!!			
1006	9 15	#at 20 20 #dispose	43	Where have you been all this time, my love?			
1007	9 16	#at 60 20 #dispose	57	Oh, darling. Just take me home. I'll tell you on the way.			
1008			0				
1009			0				
1010			0				
1011			0				
1012	9 17	#at 180 10 #width 110 #dispose	31	Leave my harp alone! It's mine!			
1013	n/a	#at 180 10 #width 120 #dispose	54	Please, don't bother me anymore. Let me weep in peace.			
1014			0				
1015	n/a	#at 180 10 #width 120 #dispose	82	I don't want any of your things. All I need is my stolen heart brought back to me.			
1016	n/a	#at 135 100	93	Now why would she toss aside this beautiful harp? Well, if she doesn't want it, I'll take it.			
1017	205 18	#at 110 10 #time 4	39	You don't have any shoes for sale, huh?			
1018	205 19	#at 10 10 #time 8	121	That's right. No shoes at all. We're makin' a pair right now, but it'll take awhile...we're not as fast as we used to be.			
1019	205 20	#at 110 10 #time 6	79	Well, that's okay. My own boots should carry me through the rest of my journey.			
1020	205 21	#at 10 10 #time 4	40	Sorry, son. We're doin' the best we can.			
1021	n/a	#at 10 10 #time 8	107	I don't know why you're still hangin' around here. We ain't got nothin' for you. Come back in a day or two.			
1022			0				
1023	205 0	#at 10 10 #time 7	62	It's you again, is it? We still don't have any shoes for sale.			
1024	205 1	#at 10 10 #width 200 #time 9	82	Take a look around if you want, but we don't have any shoes to sell you right now.			
1025	205 2	#at 10 10 #width 200 #time 15	124	We sold our last finished pair yesterday. Our business ain't doin' so good anymore and we're gettin' too old to keep tryin'.			
1026	205 3	#at 160 10 #width 140 #time 7	35	Is there anything I can do to help?			
1027	205 4	#at 10 10 #time 11	111	There ain't nothin' you can do short o' buyin' us out. But, like I said, if you want to look around, feel free.			
1028	205 5	#at 160 10 #time 4	13	Okay, thanks.			
1029	205 6	#at 10 10 #time 7	78	What have we here? Mama, take those shoes from the young man. Let me see them.			
1030	205 7	#at 10 10 #time 7	95	These are the finest pair of shoes I've ever seen. The leather is soft and pliable, yet sturdy.			
1031	205 8	#at 10 10 #time 8	135	The craftmanship of these shoes are superb. And, Mama, look at the solid gold buckle! Why, I could retire from the sale of these shoes!			
1032	205 9	#at 10 10 #time 7	75	Then the shoes are yours. I don't think I could find a better use for them.			
1033	205 10	#at 10 10 #time 7	55	You're a godsend, young man! How can we ever repay you?			
1034	205 11	#at 10 10 #time 7	71	You don't need to repay me. Just knowing I helped you is enough for me.			
1035	205 12	#at 10 10 #time 9	118	Well, it ain't much, but it's all I've got to give. Here, take my cobbler's hammer. Perhaps you can find a use for it.			
1036	205 13	#at 10 10 #time 7	63	Since I'll be retirin' I won't need it anymore...thanks to you.			
1037	205 14	#at 10 10 #time 7	61	Why...thank you. A hammer could be very useful on my journey.			
1038	205 15	#at 10 10 #time 5	46	Take care, young man. We'll never forget this.			
1039	205 16	#at 10 10 #time 8	99	That's right, son. We'll finally be able to retire in comfort. You'll be in our hearts from now on.			
1040	205 17	#at 10 10 #time 8	63	Come on, Mama. Let's go home. Let's celebrate our good fortune!			
1041			0				
1042			0				
1043	206 34	#at 8 106 #width 160 #time 3	17	What's your name?			
1044	206 35	#at 8 8 #width 160 #time 10	80	My name is Austin. I'm here with my mama. We're buying a pie for dinner tonight.			
1045	206 36	#at 8 106 #width 160 #time 3	12	That's nice.			
1046	206 27	#at 8 106 #width 160 #time 6	45	Good day, madam. That pie looks awfully good.			
1047	206 38	#at 8 8 #width 160 #time 10	43	Ah, yes. My family will enjoy it, I'm sure.			
1048	206 0	#at 8 62 #width 160 #dispose	48	And how is your poor dear mother doing, William?			
1049	206 2	#at 8 62 #width 160 #dispose	121	Austin, keep your fingers out of that pie!			
1050	206 3	#at 8 62 #width 160 #dispose	44	The pies look lovely. I think I'll take one.			
1051	206 5	#at 8 62 #width 160 #dispose	56	Yes, this will be a fine dessert for our dinner tonight.			
1052	206 6	#at 8 62 #width 160 #dispose	22	Let's go home, Austin.			
1053	11 6	#width 150 #at 150 10 #dispose	121	I am Queen Beetrice, kind sir. I wish to thank you ever so much for saving our hive from the claws of that horrible bear.			
1054	11 7	#width 150 #at 150 10 #dispose	164	In return, I offer you a luscious honeycomb from our hive. Please feel free to retrieve one. I promise my bees won't harm you. It may come in handy on your travels.			
1055	57 0	#at 10 10 #time 5	35	Don't come near me! Leave me alone!			
1056	57 1	#at 120 10 #time 6	45	I would never hurt you. I'd like to help you.			
1057	57 2	#at 10 10 #time 5	51	I don't believe you! You're probably one of...THEM!			
1058	57 3	#at 120 10 #time 5	20	I'm not; believe me.			
1059	57 4	#at 10 10 #time 6	62	Just go away...pleasssee! I don't want to talk to you anymore.			
1060	57 5	#at 10 10 #time 6	24	By the way, who are you?			
1061	57 6	#at 120 10 #time 6	28	I'm King Graham of Daventry.			
1062	57 7	#at 10 10 #time 10	65	I think I know where that is! It's very far from my home, though.			
1063	57 8	#at 120 10 #time 10	86	Don't worry. Somehow...I'll get you home again. But first, I've got to save my family.			
1064	57 9	#at 10 10 #time 10	72	Yes, well...(sniff), I'll stand by you, King Graham. I'll help if I can.			
1065	57 10	#at 120 10 #time 6	22	Thanks. I may need it.			
1066	57 11	#at 10 10 #time 10	68	Well, I'd better get back to work. And you should keep out of sight!			
1067	57 12	#at 120 10 #time 6	17	Aye, aye, m'lady.			
1068	57 25	#at 100 20 #dispose	201	Don't worry. I'm here to save my family from the evil wizard. He's got them here someplace imprisoned inside a glass bottle. If I can manage to rescue them then of course I wouldn't forget you, either.			
1069	57 26	#at 20 20 #dispose	84	I know the glass bottle you're talking about! It's in Mordack's laboratory upstairs!			
1070	57 29	#at 100 20 #dispose	112	Keep quiet about my presence. I think this will be the most difficult part of my journey. I may not...survive it			
1071	57 28	#at 20 20 #dispose	76	I would NEVER give you away. And I will help you in any way I can, kind sir.			
1072	57 31	#at 10 10 #time 5	40	Take that away from me! I don't want it!			
1073	67 2	#at 10 10 #time 3	6	Hello!			
1074	67 3	#at 100 10 #time 5	49	What? Princess Cassima! Where did you come from?!			
1075	67 4	#at 10 10 #time 10	80	From the labyrinth. I spend a lot of time down here, you know...with my friends.			
1076	67 5	#at 100 10 #time 3	8	Friends?			
1077	67 6	#at 10 10 #time 12	177	Yes. Like Dink...and Sam. I don't know if you ever saw Sam or not. Anyway, I found this loose stone once that led here...to this cell. Now come on! You'd better get out of here!			
1078	96 0	#at 18 130 #width 250 #dispose	135	Wherever did you FIND my gold locket? I thought it was gone for good. I lost it on the island just after I was brought here by Mordack.			
1079	96 1	#at 120 130 #dispose	103	You wouldn't believe me even if I told you. But tell me, who are you...and how did you come to be here?			
1080	96 2	#at 18 130 #width 260 #dispose	209	My name is Princess Cassima from the Kingdom of the Green Isles. My father, the King, employs a horrible Vizier who befriended Mordack. When Mordack saw me, he immediately wished to marry me and bring me here.			
1081	96 3	#at 18 130 #width 250 #dispose	154	Naturally I refused and my father agreed with me. But our refusal angered him so much that he stole me here anyway, and put me to work as a scullery girl.			
1082	96 4	#at 18 130 #dispose	142	He says he will never let me go...that a scullery girl I will remain until I agree to marry him. But the thought revolts me! What am I to do?!			
1083	120 0	#at 120 160 #dispose	24	NOW why won't you work?!			
1084	120 1	#at 120 140 #dispose	55	Oh...Princess Cassima! Well, I did it. Mordack is dead.			
1085	120 2	#at 10 80 #dispose	56	Dead? Are you sure? Maybe he's only trying to trick you!			
1086	120 3	#at 110 80 #dispose	261	He's dead, all right. He turned himself into a fire and I put him out with rainwater. He'll never bother anyone else EVER again! But now I have a bigger problem; I don't know what to do about my family or my castle. I don't know how to turn them back to normal!			
1087	120 4	#at 10 80 #dispose	51	After all you've been through, there MUST be a way!			
1088	120 27	#at 10 10 #dispose	103	Yes, that's right! I can't wait to see my parents again! Good-bye, Alexander. Perhaps we'll meet again.			
1089	46 15	#time 8 #at 20 20	44	Who are you? What are you doing on my beach?			
1090	46 16	#at 20 20 #time 4	15	You still here?			
1091	46 17	#at 20 20 #time 4	13	Whad'ya want?			
1092	46 18	#at 20 20 #time 4	18	Quit botherin' me!			
1093	46 19	#at 20 20 #time 6	46	Don't you know you're trespassin' on my beach?			
1094	46 20	#at 20 20 #time 4	15	Git outta here!			
1095	46 21	#at 20 20 #time 4	15	Leave me alone!			
1096	46 22	#at 20 20 #time 4	17	I cain't help ya!			
1097	46 23	#at 20 20 #time 4	10	Now what?!			
1098	46 24	#at 20 20 #time 4	24	Go away! Leave me alone!			
1099	46 25	#at 20 20 #time 4	33	Skedaddle. This ain't your beach!			
1100	46 26	#at 20 20 #time 4	17	Now whad'ya want?			
1101	46 27	#at 20 20 #time 4	19	I ain't interested.			
